Name,log_med_playtime_forever,Release_year,log_achievements,Real_price,Indie,Casual,Action,Adventure,Simulation,Strategy,RPG,Free To Play,Early Access,Sports,Racing,log_positive
Clair Obscur: Expedition 33,7.475339236566737,2025,4.02535169073515,47.99,0,0,1,0,0,0,1,0,0,0,0,11.573239450308854
Cyberpunk 2077,8.075271546297458,2020,4.060443010546419,34.63,0,0,0,0,0,0,1,0,0,0,0,13.477337676065298
Disco Elysium - The Final Cut,5.91350300563827,2019,3.828641396489095,7.58,0,0,0,0,0,0,1,0,0,0,0,11.552251941761108
Disney Infinity 1.0: Gold Edition,5.53338948872752,2016,0.0,17.31,0,0,1,1,0,0,0,0,0,0,0,6.19644412779452
Disney Infinity 2.0: Gold Edition,5.476463551931511,2016,0.0,17.31,0,0,1,1,0,0,0,0,0,0,0,5.983936280687191
Disney Infinity 3.0: Gold Edition,5.736572297479192,2016,0.0,10.49,0,0,1,1,0,0,0,0,0,0,0,6.996681488176539
Firewatch,5.493061443340548,2016,2.3978952727983707,7.18,1,0,0,1,0,0,0,0,0,0,0,11.311763537762406
Grand Theft Auto III – The Definitive Edition,5.459585514144159,2023,3.4011973816621555,33.05,0,0,1,1,0,0,0,0,0,0,0,7.938088726896952
Grand Theft Auto IV: The Complete Edition,6.54534966033442,2020,4.02535169073515,10.18,0,0,1,1,0,0,0,0,0,0,0,11.880993263181193
Grand Theft Auto V Enhanced,5.676753802268282,2025,4.356708826689592,22.48,0,0,1,1,0,0,0,0,0,0,1,10.560903923140277
Grand Theft Auto V Legacy,8.67368398817567,2015,4.356708826689592,0.0,0,0,1,1,0,0,0,0,0,0,0,14.369384751590864
Grand Theft Auto: Episodes from Liberty City,0.0,2010,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,8.925986089617076
Grand Theft Auto: San Andreas – The Definitive Edition,6.455198563340122,2023,3.58351893845611,33.05,0,0,1,1,0,0,0,0,0,0,0,8.826881344130634
Grand Theft Auto: Vice City – The Definitive Edition,6.0063531596017325,2023,3.555348061489413,33.05,0,0,1,1,0,0,0,0,0,0,0,8.349011198176003
Life is Strange - Episode 1,5.424950017481403,2015,4.110873864173311,0.0,0,0,1,1,0,0,0,0,0,0,0,12.000093440385545
Life is Strange 2,5.327876168789581,2018,3.8501476017100575,0.0,0,0,0,1,0,0,0,0,0,0,0,10.361450229602047
Life is Strange Remastered,6.680854678790215,2022,4.110873864173311,20.38,0,0,1,1,0,0,0,0,0,0,0,8.584103896698863
Life is Strange: Before the Storm,6.343880434126331,2017,3.555348061489413,16.99,0,0,1,1,0,0,0,0,0,0,0,10.457027778709657
Life is Strange: Before the Storm Remastered,6.428105272684596,2022,3.555348061489413,20.38,0,0,1,1,0,0,0,0,0,0,0,7.704811922932594
Life is Strange: Double Exposure,6.866933284461882,2024,3.555348061489413,24.99,0,0,1,1,0,0,0,0,0,0,0,8.559102594493448
Life is Strange: True Colors,6.610696044717759,2021,3.713572066704308,30.58,0,0,1,1,0,0,0,0,0,0,0,9.535101442669385
Marvel's Spider-Man 2,7.228388451573604,2025,3.784189633918261,57.59,0,0,1,1,0,0,0,0,0,0,0,9.576648764883153
Marvel’s Spider-Man Remastered,7.205635176410364,2022,4.3694478524670215,38.38,0,1,1,1,0,0,0,0,0,0,0,11.587912336493009
Marvel’s Spider-Man: Miles Morales,6.593044534142437,2022,3.9318256327243257,31.98,0,0,1,1,0,0,0,0,0,0,0,10.614548322380951
MiSide,5.786897381366708,2024,3.295836866004329,14.39,1,0,0,1,1,0,1,0,0,0,0,11.598038374343409
Red Dead Online,6.573680166960646,2020,0.0,14.98,0,0,1,1,0,0,0,0,0,0,0,10.924624667924826
Red Dead Redemption,6.336825731146441,2024,3.951243718581428,37.48,0,0,1,0,0,0,0,0,0,0,0,9.171599543659752
Red Dead Redemption 2,7.511524648390866,2019,3.951243718581428,26.23,0,0,1,1,0,0,0,0,0,0,0,13.424936032791267
Road 96 🛣️,5.579729825986222,2021,2.5649493574615367,8.73,1,0,1,1,0,0,0,0,0,0,0,9.886392257107492
Road 96: Mile 0,5.272999558563747,2023,2.772588722239781,5.67,1,1,1,1,0,0,0,0,0,0,0,7.029087564149662
Watch Dogs®: Legion,5.877735781779639,2023,3.912023005428146,11.38,0,0,1,1,0,0,0,0,0,0,0,8.665095821339733
